               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 159,            0.030113,            0.036816,           0.0041917,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.030587,            0.031769,           0.0041026,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.031334,            0.030195,           0.0054061,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.029855,            0.033922,            0.005126,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004687,            0.004687,            0.004687
                 163,             0.03142,            0.034322,           0.0047039,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.031293,            0.033825,           0.0046563,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004621,            0.004621,            0.004621
                 165,            0.030312,            0.035613,           0.0050974,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004588,            0.004588,            0.004588
                 166,            0.029675,            0.033931,           0.0049215,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                 167,            0.030925,            0.034458,           0.0046339,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004522,            0.004522,            0.004522
                 168,            0.027934,            0.033586,           0.0043442,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004489,            0.004489,            0.004489
                 169,            0.032366,            0.035749,           0.0045483,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                 170,            0.032157,            0.037829,           0.0045543,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004423,            0.004423,            0.004423
                 171,            0.030036,            0.032329,           0.0043518,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00439,             0.00439,             0.00439
                 172,            0.029728,            0.032052,           0.0048781,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004357,            0.004357,            0.004357
                 173,            0.029836,            0.035407,           0.0044664,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004324,            0.004324,            0.004324
                 174,            0.027492,            0.029912,           0.0041095,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004291,            0.004291,            0.004291
                 175,             0.02735,            0.030269,           0.0038596,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                 176,            0.028193,            0.029283,            0.004406,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004225,            0.004225,            0.004225
                 177,            0.028717,            0.032051,           0.0047366,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004192,            0.004192,            0.004192
