               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 123,            0.033463,            0.036716,           0.0048818,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                 124,            0.031733,            0.038041,           0.0049968,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005908,            0.005908,            0.005908
                 125,            0.033451,            0.037496,           0.0052152,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005875,            0.005875,            0.005875
                 126,            0.034822,            0.034814,           0.0053114,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                 127,            0.033988,            0.035403,           0.0049407,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005809,            0.005809,            0.005809
                 128,            0.031917,              0.0369,           0.0051866,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005776,            0.005776,            0.005776
                 129,            0.030048,            0.033315,           0.0051785,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                 130,            0.031238,            0.035673,           0.0048856,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00571,             0.00571,             0.00571
                 131,            0.034316,            0.034134,           0.0045137,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005677,            0.005677,            0.005677
                 132,            0.034245,            0.036639,           0.0049131,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                 133,            0.033991,            0.035571,           0.0050913,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005611,            0.005611,            0.005611
                 134,            0.033594,            0.036078,            0.004741,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005578,            0.005578,            0.005578
                 135,            0.032424,            0.035019,           0.0049577,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                 136,            0.032127,            0.030146,           0.0044848,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005512,            0.005512,            0.005512
                 137,            0.032833,            0.032088,           0.0050393,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005479,            0.005479,            0.005479
                 138,            0.031895,            0.034161,           0.0052477,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                 139,             0.03134,            0.032762,            0.005544,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005413,            0.005413,            0.005413
                 140,            0.032104,            0.034809,           0.0045657,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00538,             0.00538,             0.00538
                 141,            0.031871,            0.032829,           0.0052927,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                 142,            0.030641,            0.034406,            0.004772,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005314,            0.005314,            0.005314
                 143,            0.032997,            0.036039,           0.0048863,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005281,            0.005281,            0.005281
                 144,            0.035101,            0.038677,           0.0052941,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                 145,             0.03155,            0.034209,           0.0048355,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005215,            0.005215,            0.005215
                 146,            0.030372,            0.033591,            0.004854,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005182,            0.005182,            0.005182
                 147,            0.032931,            0.034461,           0.0048812,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                 148,            0.030679,            0.033073,           0.0047939,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005116,            0.005116,            0.005116
                 149,            0.031564,            0.038161,           0.0049481,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005083,            0.005083,            0.005083
                 150,            0.033063,            0.034846,            0.005214,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                 151,            0.033035,            0.035657,           0.0047556,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005017,            0.005017,            0.005017
                 152,            0.031457,            0.035883,           0.0050084,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004984,            0.004984,            0.004984
                 153,            0.031085,            0.036581,           0.0047104,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004951,            0.004951,            0.004951
                 154,            0.031161,            0.033943,           0.0048723,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004918,            0.004918,            0.004918
                 155,             0.03043,            0.034162,           0.0046341,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004885,            0.004885,            0.004885
